Someone is frying meat.	أحدهم يعزف البيانو.
Someone cut the wheel mushroom knife.	A man is rapidly chopping some mushrooms using a knife.
Woman breaks three eggs in the pot.	A woman is adding ingredients to a bowl.
Man skating on the half-pipe.	A skateboarder does tricks on a half-pipe.
A man speaking at the podium.	A man is speaking on a stage.
A man with a hat playing the harp.	A man is playing a guitar.
A man playing the harp.	A man is playing on his keyboard.
Someone cut the leeks.	A person is cutting a potato.
A man playing his guitar.	A man is playing drums.
A man dancing upside down on the ceiling.	A man is dancing on the ceiling of a room.
Two men are dancing.	إمرأتان تتسوقان.
Someone is seasoning eggs.	أحدهم يتبّل بيضتان نيئتان في إناء.
Women cut green onions.	A woman is peeling an onion.
Someone peeled potato.	A person is mixing a pot of rice.
Monkey swinging in the trees.	A man is swinging in a rope.
A person holding a fish.	Someone is slicing a onion.
Woman cut broccoli.	A man is cutting tomatoes.
A woman combing her hair.	A woman is boiling shrimp.
A man cuts a potato.	رجل يقطّع  حبة بطاطا.
A man dancing.	A man is dancing on the road.
Deer jumping over a fence hurricane.	The deer jumped over the fence.
A woman dancing in the rain.	A girl dances in the rain.
A woman sitting on the desk.	A woman is writing a letter.
Monkey plays drums.	A gorilla is playing the drums.
Girl playing the harp.	A man is playing a guitar.
Woman harvested tomatoes.	A woman is riding on a horse.
Assad is trying to climb the wall.	A lion cub tries to climb a fence.
A man talking on a loudspeaker.	A man is talking on a cell phone.
A man cleans a CD.	A man is playing a guitar.
Cut the grass with scissors was born.	The boy cut the grass by the curb with scissors.
Woman peeled potatoes cut into slices.	A woman is dicing some peeled potatoes cut into thick strips.
A man in the library speak.	A man with glasses is talking.
A little girl peddling a scooter.	فتاة تركب عجلة.
Woman cut broccoli.	A woman is cutting some flowers.
A man walking down the sidewalk.	A person is walking down a stone path.
The man poured the broth into the pot	Someone is pouring chicken broth into a pot.
The man playing the piano with his nose.	A man plays the keyboard with his nose.
He never plays.	A man is playing guitar.
Animal jumps.	A animal is eating.
A man raises iron.	A man is lifting weights.
A man is going on with the truck.	A man is running with a bus.
A man sits on a rock.	A man is climbing a rope.
A cat licking her hand.	A cat is playing the piano.
Woman add oil to the dish.	A woman is dancing in the rain.
A cat licking itself.	A cat cleans itself.
A man displays the football.	A man is kicking a soccer ball.
Contestants are conducting in the path.	Men are running a race.
A woman opens a window.	إمرأة تنظر خارج النافذة.
Woman cut potatoes.	A man is cutting tomatoes into pieces.
Woman applying eyeliner.	A man is playing a flute.
A woman cut off the islands.	A woman is cutting potatoes.
Three men without shirts dancing in the road.	Three men are doing same dance in the street.
You have clicked a dead rat.	A chicken is pecking at a dead mouse.
A woman with a knife cut garlic.	A woman is chopping an onion.
Women cut tomato.	The woman is thinly slicing a cucumber.
A man cut bread.	A person is slicing a bread pieces.
Woman cut a large grain of pepper.	A woman is cutting a squash.
Woman riding horse.	A woman is adding oil on fishes.
Woman paint rib pork.	A woman is grating carrots.
Woman cleans shrimp.	Someone is cleaning a animal.
